0794,3
1635,4
1124,4
1240,4
1782,5
1627,4
1493,4
1764,5
1528,4
0234,1
0752,3
0297,2
1464,4
1095,4
0355,2
0275,2
1114,4
1490,4
1238,4
1728,5
1765,5
1439,4
1066,4
1067,4
1693,4
1266,4
1213,4
0685,3
1580,4
0774,3
0200,1
1470,4
1536,4
0479,3
0493,3
0631,3
0092,1
0345,2
1638,4
1818,5
1582,4
1681,4
0889,3
1307,4
0356,2
0975,3
1353,4
1491,4
0298,2
0518,3
0980,3
1513,4
1476,4
1465,4
0126,1
1143,4
0963,3
1663,4
1701,4
0562,3
1516,4
0069,1
0982,3
0365,3
0978,3
0400,3
0043,1
1630,4
0157,1
0667,3
0177,1
1230,4
1567,4
1810,5
0802,3
1607,4
1731,5
0401,3
1619,4
1337,4
0099,1
1683,4
1153,4
0214,1
1737,5
1466,4
0377,3
1319,4
0208,1
1546,4
1367,4
0836,3
1622,4
0362,3
0025,1
0386,3
1257,4
0289,2
1610,4
1792,5
1338,4
1807,5
1573,4
1074,4
0751,3
1697,4
0226,1
0981,3
0134,1
0388,3
0899,3
0579,3
0846,3
0826,3
0266,2
1069,4
0499,3
1360,4
1168,4
1090,4
0138,1
1365,4
1148,4
0265,2
1576,4
0599,3
0133,1
0321,2
0464,3
1008,3
0113,1
0039,1
1665,4
1602,4
1214,4
1773,5
1391,4
0046,1
1029,4
1101,4
0523,3
1017,3
0444,3
0528,3
0561,3
0061,1
1514,4
1650,4
1211,4
0395,3
1753,5
0398,3
0872,3
0979,3
0188,1
0856,3
1515,4
1508,4
0087,1
1261,4
0239,1
1182,4
0364,3
1265,4
1357,4
0672,3
1812,5
0028,1
0985,3
0379,3
1559,4
0308,2
0886,3
0700,3
1052,4
0006,1
0183,1
0983,3
1799,5
0242,1
1739,5
0385,3
1510,4
1161,4
1377,4
1550,4
0595,3
0686,3
0896,3
1644,4
0793,3
1774,5
0597,3
1285,4
0019,1
0762,3
1120,4
1032,4
0820,3
0287,2
0713,3
1106,4
0900,3
0358,2
1276,4
1050,4
1751,5
1255,4
0429,3
0311,2
0875,3
0416,3
1752,5
0350,2
0526,3
0971,3
1184,4
0534,3
0966,3
0722,3
0367,3
0154,1
0882,3
0410,3
1557,4
0322,2
0463,3
1733,5
1719,4
0152,1
1046,4
1529,4
1732,5
0029,1
1500,4
1761,5
0902,3
1779,5
0254,1
0291,2
1195,4
0428,3
1022,4
1019,4
1406,4
0592,3
1329,4
1146,4
0653,3
1025,4
0173,1
1194,4
1483,4
0754,3
0841,3
1518,4
0402,3
1794,5
1718,4
0994,3
0828,3
0658,3
0607,3
1358,4
1015,3
